日期,机组名称,变动成本电价
2024-01-03,湛江424机组,0.0
2024-01-03,广州339机组,699.18
2024-01-03,广州340机组,699.18
2024-01-03,佛山556机组,0.0
2024-01-03,广州346机组,661.04
2024-01-03,广州347机组,661.04
2024-01-03,江门557机组,0.0
2024-01-03,韶关529机组,0.0
2024-01-03,清远562机组,0.0
2024-01-03,清远561机组,0.0
2024-01-03,湛江495机组,0.0
2024-01-03,阳江470机组,0.0
2024-01-03,江门570机组,0.0
2024-01-03,梅州585机组,0.0
2024-01-03,汕尾484机组,0.0
2024-01-03,汕尾485机组,0.0
2024-01-03,梅州612机组,0.0
2024-01-03,广州9机组,661.04
2024-01-03,阳江620机组,0.0
2024-01-03,江门578机组,0.0
2024-01-03,汕头621机组,0.0
2024-01-03,阳江623机组,0.0
2024-01-03,汕尾626机组,0.0
2024-01-03,汕尾627机组,0.0
2024-01-03,韶关628机组,0.0
2024-01-03,揭阳629机组,0.0
2024-01-03,揭阳630机组,0.0
2024-01-03,阳江631机组,0.0
2024-01-03,阳江632机组,0.0
2024-01-03,惠州483机组,0.0
2024-01-03,湛江393机组,0.0
2024-01-03,湛江394机组,0.0
2024-01-03,阳江471机组,0.0
2024-01-03,韶关36机组,0.0
2024-01-03,清远634机组,0.0
2024-01-03,清远635机组,0.0
2024-01-03,中山636机组,0.0
2024-01-03,阳江638机组,0.0
2024-01-03,汕头639机组,0.0
2024-01-03,河源44机组,442.4
2024-01-03,深圳17机组,419.33
2024-01-03,深圳18机组,419.33
2024-01-03,深圳19机组,419.33
2024-01-03,广州5机组,464.39
2024-01-03,广州6机组,464.39
2024-01-03,汕头112机组,375.87
2024-01-03,汕头113机组,375.87
2024-01-03,揭阳92机组,399.66
2024-01-03,其他118机组,464.39
2024-01-03,其他119机组,464.39
2024-01-03,其他120机组,442.4
2024-01-03,其他121机组,442.4
2024-01-03,汕尾116机组,375.87
2024-01-03,汕尾117机组,375.87
2024-01-03,汕尾53机组,399.66
2024-01-03,潮州87机组,399.66
2024-01-03,潮州88机组,375.87
2024-01-03,汕尾54机组,399.66
2024-01-03,梅州106机组,534.55
2024-01-03,韶关40机组,464.39
2024-01-03,韶关41机组,464.39
2024-01-03,韶关42机组,442.4
2024-01-03,韶关43机组,442.4
2024-01-03,梅州124机组,442.4
2024-01-03,东莞128机组,399.66
