时间,温度,10米水平风速,10米垂直风速,降水,辐照
2024-12-01 06:00:00,295.9031982421875,-2.291626214981079,-0.3445318341255188,0.002465378884153324,2034806.0
2024-12-01 07:00:00,295.9822692871094,-2.308520078659058,-0.3644091784954071,0.002900931349358871,1619273.5
2024-12-01 08:00:00,295.5679626464844,-2.46755313873291,-0.3353464305400848,0.002433039298921358,1095643.375
2024-12-01 09:00:00,295.4494934082031,-2.493757486343384,-0.3886932730674744,0.002425470484013204,516114.375
2024-12-01 10:00:00,292.7369079589844,-2.229671001434326,-0.6442258954048157,0.002764692226264742,74897.640625
2024-12-01 11:00:00,292.6731567382812,-2.404394388198853,-0.6126863956451416,0.002729600282691536,3.599998988149111e-12
2024-12-01 12:00:00,292.4270935058594,-2.457161664962769,-0.5083946585655212,0.002951849182863953,3.599998988149111e-12
2024-12-01 13:00:00,292.2711181640625,-2.502650737762451,-0.3694584965705872,0.0038532293729076628,3.599998988149111e-12
2024-12-01 14:00:00,291.4703369140625,-2.515539407730103,-0.3674032688140869,0.004173873094259761,3.599998988149111e-12
2024-12-01 15:00:00,290.9703369140625,-2.435487031936646,-0.4463920593261719,0.003584879550544429,3.599998988149111e-12
2024-12-01 16:00:00,290.9204406738281,-2.359580278396606,-0.7286482453346252,0.00396745008401922,3.599998988149111e-12
2024-12-01 17:00:00,290.4243469238281,-2.229350566864014,-1.009097456932068,0.005760578005720163,3.599998988149111e-12
2024-12-01 18:00:00,290.3508911132812,-2.112023591995239,-1.402541518211365,0.005946359124209266,3.599998988149111e-12
2024-12-01 19:00:00,290.2601623535156,-2.05832576751709,-1.783462405204773,0.005093143954582047,3.599998988149111e-12
2024-12-01 20:00:00,289.8592224121094,-2.121278047561646,-2.088327884674072,0.007173887752287555,3.599998988149111e-12
2024-12-01 21:00:00,289.7931823730469,-2.214705228805542,-2.218010187149048,0.007020446446404094,3.599998988149111e-12
2024-12-01 22:00:00,290.1128234863281,-2.23211932182312,-2.20868968963623,0.009480320841248613,3.599998988149111e-12
2024-12-01 23:00:00,290.0706176757812,-2.330538988113403,-2.12892746925354,0.01066931781679159,3460.61767578125
2024-12-02 00:00:00,290.2498168945312,-2.528393030166626,-2.105181217193604,0.01446681289962726,214323.34375
2024-12-02 01:00:00,290.5854187011719,-2.605494737625122,-1.875442504882812,0.0149106226672302,738273.0625
2024-12-02 02:00:00,294.530029296875,-2.861698389053345,-1.871371150016785,0.01313951270276448,1294645.25
2024-12-02 03:00:00,294.8073120117188,-2.95872688293457,-1.832569003105164,0.01158170744020026,1756846.75
2024-12-02 04:00:00,295.0245666503906,-2.988803386688232,-1.755412817001343,0.008770914064371027,2043532.0
2024-12-02 05:00:00,297.0143737792969,-2.989337682723999,-1.63139009475708,0.006784436209272826,2101739.25
2024-12-02 06:00:00,297.1083068847656,-2.98865532875061,-1.457056999206543,0.004937638550472911,1965102.875
2024-12-02 07:00:00,297.2079162597656,-3.066197395324707,-1.334664463996887,0.002545883717175457,1611410.25
2024-12-02 08:00:00,296.7771606445312,-3.168710947036743,-1.126998066902161,0.001494502612331416,1093250.125
2024-12-02 09:00:00,296.6633911132812,-3.071855306625366,-0.9309113621711731,0.001259868440683931,505102.40625
2024-12-02 10:00:00,293.6691589355469,-2.711554765701294,-0.7471683621406555,0.001221336106027593,72612.8515625
2024-12-02 11:00:00,293.5008239746094,-2.910220146179199,-0.7049195766448975,0.002064230102405418,3.599998988149111e-12
2024-12-02 12:00:00,293.338623046875,-3.095014095306396,-0.6051126718521118,0.001455282244933187,3.599998988149111e-12
2024-12-02 13:00:00,293.262451171875,-3.138098239898682,-0.4886472821235657,0.001608035290701082,3.599998988149111e-12
2024-12-02 14:00:00,292.4472045898438,-3.158132553100586,-0.4536700844764709,0.001950009391293861,3.599998988149111e-12
2024-12-02 15:00:00,291.982177734375,-3.103163242340088,-0.5103572607040405,0.001881201683318068,3.599998988149111e-12
2024-12-02 16:00:00,291.91552734375,-3.05805230140686,-0.6625366806983948,0.002844509026544983,3.599998988149111e-12
2024-12-02 17:00:00,291.4585266113281,-3.001763582229614,-0.7880131602287292,0.004384424755699001,3.599998988149111e-12
2024-12-02 18:00:00,291.4290161132812,-2.889655590057373,-0.8714385628700256,0.006531224244099576,3.599998988149111e-12
2024-12-02 19:00:00,291.3511047363281,-2.865311861038208,-1.033184885978699,0.003050244004043634,3.599998988149111e-12
2024-12-02 20:00:00,290.7958679199219,-2.797397136688232,-1.25674831867218,0.003893138000421459,3.599998988149111e-12
2024-12-02 21:00:00,290.7770080566406,-2.702756404876709,-1.543349981307983,0.004756674115924397,3.599998988149111e-12
2024-12-02 22:00:00,291.0527038574219,-2.448716878890991,-1.70652961730957,0.007875038136262447,3.599998988149111e-12
2024-12-02 23:00:00,291.0282592773438,-2.509507179260254,-1.910382986068726,0.01437667469872395,3027.301513671875
2024-12-03 00:00:00,291.1542053222656,-2.558722257614136,-2.18532657623291,0.01424525180482306,204686.3125
2024-12-03 01:00:00,291.5177307128906,-2.665612936019897,-2.268125057220459,0.01400511337124044,688719.625
2024-12-03 02:00:00,295.2183837890625,-2.907756328582764,-2.427768468856812,0.0144675004776218,1264830.0
2024-12-03 03:00:00,295.4317016601562,-3.162757873535156,-2.379124402999878,0.01513355891802348,1730529.0
2024-12-03 04:00:00,295.627685546875,-3.227570533752441,-2.29325795173645,0.01277483170269988,2000346.75
2024-12-03 05:00:00,297.4429016113281,-3.205122947692871,-2.140611410140991,0.01078422610589769,2110979.25
2024-12-03 06:00:00,297.5544128417969,-3.144858598709106,-1.957968711853027,0.01253675782209029,1951882.875
2024-12-03 07:00:00,297.5742797851562,-3.200840473175049,-1.886314988136292,0.01011885615298524,1583633.0
